Acc X       , Acc Y       , Acc Z       , Gyro X      , Gyro Y      , Gyro Z      , Euler X     , Euler Y     , Euler Z     , Time        , Status       
-0.5340147  , 9.734978    , 0.8576248   , 0.00308936881, -0.005470833, -0.00267993752, -1.66139722 , -0.0588052273, 1.311228    , 20.31       , 3
-0.524200737, 9.771068    , 0.86513865  , 0.004281797 , -0.006924334, -0.00107310386, -1.66135848 , -0.0588096753, 1.31129766  , 20.32       , 3
-0.518558562, 9.753878    , 0.871196032 , 0.00320780417, -0.007982587, -0.0001428969, -1.661331   , -0.0588038862, 1.31137776  , 20.33       , 3
-0.5211138  , 9.764264    , 0.866131246 , -0.000122290119, -0.005993734, -0.00135948637, -1.66133583 , -0.0588119738, 1.3114388   , 20.34       , 3
-0.5486533  , 9.760871    , 0.85498476  , -0.00384881278, -0.00507735927, -0.00377607043, -1.66137743 , -0.0588449948, 1.31149268  , 20.35       , 3
-0.533272   , 9.750704    , 0.8453592   , -0.006248498, -0.004949122, -0.00458619464, -1.661443   , -0.0588862523, 1.31154609  , 20.36       , 3
-0.534713745, 9.765332    , 0.8690946   , -0.00558942137, -0.004403717, -0.00258446136, -1.66150177 , -0.0589079261, 1.31159234  , 20.37       , 3
-0.5465469  , 9.761861    , 0.871665359 , -0.00186714029, -0.00571403652, 0.000632556563, -1.6615237  , -0.0588964336, 1.31164861  , 20.38       , 3
-0.534240544, 9.768954    , 0.8708747   , 0.00319779664, -0.00663506659, 0.00238817045, -1.66149557 , -0.0588667  , 1.3117125   , 20.39       , 3
-0.5056674  , 9.734331    , 0.874215543 , 0.001746495 , -0.00615203846, 0.00132877158, -1.66140032 , -0.0587080531, 1.31278253  , 20.4        , 3
-0.528407335, 9.748452    , 0.8544461   , -0.00184516469, -0.005637564, -0.00148663064, -1.66142213 , -0.0587177277, 1.31284022  , 20.41       , 3
-0.5199889  , 9.782308    , 0.863309    , -0.00157119811, -0.00604742253, -0.0030847  , -1.66144156 , -0.05874307 , 1.31290317  , 20.42       , 3
-0.5263835  , 9.770129    , 0.8561113   , -0.00210568658, -0.00538017275, -0.00282124546, -1.66146588 , -0.05876627 , 1.31295943  , 20.43       , 3
-0.5038254  , 9.763568    , 0.85691     , -0.00277784537, -0.00644026324, -0.00215598568, -1.66149759 , -0.05878188 , 1.31302571  , 20.44       , 3
-0.50145185 , 9.750572    , 0.8773014   , -0.0009088417, -0.006306652, -0.00201503257, -1.66151047 , -0.0587962419, 1.31309056  , 20.45       , 3
-0.5222433  , 9.746224    , 0.8694036   , 0.0029626973, -0.00603945367, -0.00173256674, -1.66148448 , -0.0588079765, 1.31315255  , 20.46       , 3
-0.528575063, 9.740375    , 0.8626095   , 0.00496664643, -0.00577455247, -0.00185786583, -1.66143835 , -0.05882126 , 1.31321168  , 20.47       , 3
-0.53787297 , 9.740338    , 0.8417738   , 0.003637147 , -0.00418266142, -0.0026655714, -1.66140461 , -0.0588439777, 1.31325555  , 20.48       , 3
-0.5183283  , 9.76146     , 0.856283247 , 0.00203477335, -0.00511566876, -0.00293759839, -1.66138744 , -0.05886858 , 1.31330943  , 20.49       , 3
-0.505765855, 9.739107    , 0.844010055 , -0.000622826, -0.006091531, -0.003463289, -1.66131413 , -0.0587306842, 1.31435275  , 20.5        , 3
-0.538425565, 9.75132751  , 0.8632971   , -0.004364982, -0.007152812, -0.00307751377, -1.66136217 , -0.0587548651, 1.31442714  , 20.51       , 3
-0.5450557  , 9.75357     , 0.84968406  , -0.005169361, -0.006748143, -0.00228155428, -1.66141784 , -0.058771465, 1.31449628  , 20.52       , 3
-0.523736   , 9.769236    , 0.8620066   , -0.00183964684, -0.006203234, -0.00026863828, -1.6614399  , -0.0587685667, 1.31455827  , 20.53       , 3
-0.5143584  , 9.748747    , 0.853279352 , -0.0009154377, -0.007121732, 0.00173626747, -1.66145313 , -0.0587448925, 1.31462789  , 20.54       , 3
